index,type,value,combination
96,i32,xmlStrEqual,i32	xml	Str	Equal	
97,i32,xmlStrEqual,i32	xml	Str	Equal	
98,i32,xmlC14NIsXmlNs,i32	xml	C14	N	Is	Xml	Ns	
99,_xmlNs*,xmlSearchNs,xml	Ns*	xml	Search	Ns	
100,i32,xmlC14NVisibleNsStackFind,i32	xml	C14	N	Visible	Ns	Stack	Find	
101,i32,xmlStrlen,i32	xml	Strlen	
102,i32,xmlC14NIsXmlNs,i32	xml	C14	N	Is	Xml	Ns	
103,_xmlNs*,xmlSearchNs,xml	Ns*	xml	Search	Ns	
104,i32,xmlExcC14NVisibleNsStackFind,i32	xml	Exc	C14	N	Visible	Ns	Stack	Find	
105,i32,xmlStrlen,i32	xml	Strlen	
106,i32,xmlC14NIsXmlNs,i32	xml	C14	N	Is	Xml	Ns	
107,i32,xmlC14NVisibleNsStackFind,i32	xml	C14	N	Visible	Ns	Stack	Find	
108,i32,xmlStrlen,i32	xml	Strlen	
109,i32,xmlStrlen,i32	xml	Strlen	
110,i32,xmlStrlen,i32	xml	Strlen	
111,i32,xmlC14NVisibleNsStackFind,i32	xml	C14	N	Visible	Ns	Stack	Find	
112,i32,xmlC14NVisibleNsStackFind,i32	xml	C14	N	Visible	Ns	Stack	Find	
113,i32,xmlC14NIsXmlNs,i32	xml	C14	N	Is	Xml	Ns	
114,i32,xmlStrlen,i32	xml	Strlen	
115,i8*,xmlNodeListGetString,i8*	xml	Node	List	Get	String	
116,i8*,xmlC11NNormalizeString,i8*	xml	C11	N	Normalize	String	
117,_xmlAttr*,xmlHasNsProp,xml	Attr*	xml	Has	Ns	Prop	
118,i8*,xmlLoadFileContent,i8*	xml	Load	File	Content	
119,_xmlCatalog*,xmlCreateNewCatalog,xml	Catalog*	xml	Create	New	Catalog	
120,i32,xmlParseSGMLCatalog,i32	xml	Parse	S	G	M	L	Catalog	
121,_xmlParserCtxt*,xmlNewParserCtxt,xml	Parser	Ctxt*	xml	New	Parser	Ctxt	
122,_xmlParserInputBuffer*,xmlParserInputBufferCreateFilename,xml	Parser	Input	Buffer*	xml	Parser	Input	Buffer	Create	Filename	
123,_xmlParserInput*,xmlNewInputStream,xml	Parser	Input*	xml	New	Input	Stream	
124,i32,stat64,i32	stat	
125,i32,open64,i32	open	
126,i32,memcmp,i32	memcmp	
127,i32,memcmp,i32	memcmp	
128,i32,memcmp,i32	memcmp	
129,i32,xmlStrQEqual,i32	xml	Str	Q	Equal	
130,i32,xmlStrQEqual,i32	xml	Str	Q	Equal	
131,i32,xmlStrQEqual,i32	xml	Str	Q	Equal	
132,i32,xmlStrQEqual,i32	xml	Str	Q	Equal	
133,i8*,xmlDictAddQString,i8*	xml	Dict	Add	Q	String	
134,_xmlRMutex*,xmlNewRMutex,xml	R	Mutex*	xml	New	R	Mutex	
135,i32,__xmlInitializeDict,i32	xml	Initialize	Dict	
136,_xmlDict*,xmlDictCreate,xml	Dict*	xml	Dict	Create	
137,i32,__xmlInitializeDict,i32	xml	Initialize	Dict	
138,i32,__xmlInitializeDict,i32	xml	Initialize	Dict	
139,i32,memcmp,i32	memcmp	
140,i32,memcmp,i32	memcmp	
141,i32,memcmp,i32	memcmp	
142,i32,memcmp,i32	memcmp	
143,i8*,xmlDictAddString,i8*	xml	Dict	Add	String	
144,i32,xmlDictGrow,i32	xml	Dict	Grow	
145,i32,memcmp,i32	memcmp	
146,i32,strcmp,i32	strcmp	
147,i32,strcmp,i32	strcmp	
148,i32,strcmp,i32	strcmp	
149,i8*,xmlGetEncodingAlias,i8*	xml	Get	Encoding	Alias	
150,i32,strcmp,i32	strcmp	
151,i32,strcmp,i32	strcmp	
152,i32,strcmp,i32	strcmp	
153,i32,strcmp,i32	strcmp	
154,i32,strcmp,i32	strcmp	
155,i32,strcmp,i32	strcmp	
156,i32,strcmp,i32	strcmp	
157,i32,strcmp,i32	strcmp	
158,i32,strcmp,i32	strcmp	
159,i32,strcmp,i32	strcmp	
160,i32,strcmp,i32	strcmp	
161,i32,strcmp,i32	strcmp	
162,i32,strcmp,i32	strcmp	
163,i32,strcmp,i32	strcmp	
