index,type,value,combination,label
5120,_xmlXPathContext*,,xml	X	Path	Context*	null	,65
5121,i8*,,i8*	null	,7
5122,i8*,,i8*	null	,7
5123,_xmlSchematronValidCtxt*,,xml	Schematron	Valid	Ctxt*	null	,70
5124,_xmlXPathContext*,,xml	X	Path	Context*	null	,65
5125,_xmlDict*,,xml	Dict*	null	,35
5126,_xmlNode*,,xml	Node*	null	,8
5127,i32,17,i32	constant	,1
5128,i32,14,i32	constant	,1
5129,_xmlNode*,,xml	Node*	null	,8
5130,i32,17,i32	constant	,1
5131,i32,14,i32	constant	,1
5132,_xmlNode*,,xml	Node*	null	,8
5133,i32,9,i32	constant	,1
5134,_xmlNode*,,xml	Node*	null	,8
5135,_xmlNode*,,xml	Node*	null	,8
5136,_xmlXPathObject*,,xml	X	Path	Object*	null	,0
5137,_xmlNodeSet*,,xml	Node	Set*	null	,3
5138,i32,0,i32	constant	,1
5139,i32,0,i32	constant	,1
5140,i32,0,i32	constant	,1
5141,i8*,,i8*	null	,7
5142,i32,0,i32	constant	,1
5143,i32,1,i32	constant	,1
5144,i32,0,i32	constant	,1
5145,i32,2,i32	constant	,1
5146,i32,0,i32	constant	,1
5147,i32,0,i32	constant	,1
5148,i32,0,i32	constant	,1
5149,_xmlSchematron*,,xml	Schematron*	null	,69
5150,_xmlSchematronValidCtxt*,,xml	Schematron	Valid	Ctxt*	null	,70
5151,_xmlDoc*,,xml	Doc*	null	,2
5152,_xmlSchematronRule*,,xml	Schematron	Rule*	null	,73
5153,_xmlNode*,,xml	Node*	null	,8
5154,i32,1,i32	constant	,1
5155,i32,0,i32	constant	,1
5156,i32,0,i32	constant	,1
5157,_xmlNode*,,xml	Node*	null	,8
