0,1,2,3,4,5,6,7
-1.3814097344875336,-0.5952722057700157,0.008221670985221863,-1.028067409992218,-0.9576819352805614,-0.9845172762870789,-0.2914206311106682,0.05449152737855911
-0.6701934734980265,-0.32031311094760895,-0.24344014128049216,-0.4700999806324641,-0.08352875709533691,-0.5037078311045965,0.08502144118150075,-0.629421333471934
-0.5862128287553787,0.057054199278354645,-0.6401695758104324,0.08635704964399338,-0.31838740035891533,-0.3824929744005203,-0.16927484422922134,-0.6455967128276825
-0.35759240835905076,-1.2065434962511064,-0.266439126431942,-0.6191772416234016,0.09541728347539902,0.18495449870824815,-0.19454006254673004,-0.4798570781946182
-0.23156828184922537,-1.000411589940389,-0.006932169198989868,-0.22069230924050012,-0.4030444684127967,-1.2998914544781048,-0.31910750766595203,-0.5563595145940781
-0.23156828184922537,-1.000411589940389,-0.006932169198989868,-0.22069230924050012,-0.4030444684127967,-1.2998914544781048,-0.31910750766595203,-0.5563595145940781
-0.23156828184922537,-1.000411589940389,-0.006932169198989868,-0.22069230924050012,-0.4030444684127967,-1.2998914544781048,-0.31910750766595203,-0.5563595145940781
-0.23156828184922537,-1.000411589940389,-0.006932169198989868,-0.22069230924050012,-0.4030444684127967,-1.2998914544781048,-0.31910750766595203,-0.5563595145940781
-0.6263958053155378,-0.9632482582872565,0.03229209238832647,-0.0810907090252096,-0.2099404348568483,-1.1818274801427668,-0.4936810677701777,-0.6508860290050507
-0.6263958053155378,-0.9632482582872565,0.03229209238832647,-0.0810907090252096,-0.2099404348568483,-1.1818274801427668,-0.4936810677701777,-0.6508860290050507
-0.6263958053155378,-0.9632482582872565,0.03229209238832647,-0.0810907090252096,-0.2099404348568483,-1.1818274801427668,-0.4936810677701777,-0.6508860290050507
-0.6263958053155378,-0.9632482582872565,0.03229209238832647,-0.0810907090252096,-0.2099404348568483,-1.1818274801427668,-0.4936810677701777,-0.6508860290050507
-0.582199932800399,-0.24095388253529867,-0.35184458560413784,-0.34458664059638977,-0.3070181492302153,-1.0565291974279616,-1.01395863129033,-0.353133887052536
-0.582199932800399,-0.24095388253529867,-0.35184458560413784,-0.34458664059638977,-0.3070181492302153,-1.0565291974279616,-1.01395863129033,-0.353133887052536
-0.43667871185711454,-0.6954278754336494,-0.10456662873427074,-0.20092210741270156,-0.28735029768376125,-0.5899716218312582,-0.4467878497782208,-0.6840748971416837
-0.43667871185711454,-0.6954278754336494,-0.10456662873427074,-0.20092210741270156,-0.28735029768376125,-0.5899716218312582,-0.4467878497782208,-0.6840748971416837
-0.43667871185711454,-0.6954278754336494,-0.10456662873427074,-0.20092210741270156,-0.28735029768376125,-0.5899716218312582,-0.4467878497782208,-0.6840748971416837
-0.43667871185711454,-0.6954278754336494,-0.10456662873427074,-0.20092210741270156,-0.28735029768376125,-0.5899716218312582,-0.4467878497782208,-0.6840748971416837
-0.43667871185711454,-0.6954278754336494,-0.10456662873427074,-0.20092210741270156,-0.28735029768376125,-0.5899716218312582,-0.4467878497782208,-0.6840748971416837
-0.43667871185711454,-0.6954278754336494,-0.10456662873427074,-0.20092210741270156,-0.28735029768376125,-0.5899716218312582,-0.4467878497782208,-0.6840748971416837
-0.43667871185711454,-0.6954278754336494,-0.10456662873427074,-0.20092210741270156,-0.28735029768376125,-0.5899716218312582,-0.4467878497782208,-0.6840748971416837
-0.43667871185711454,-0.6954278754336494,-0.10456662873427074,-0.20092210741270156,-0.28735029768376125,-0.5899716218312582,-0.4467878497782208,-0.6840748971416837
-0.757471427321434,-0.28345803254180485,-0.3520795438024733,-0.27241157326433396,-0.2887110826041963,-0.22547443045510185,-0.06357359886169434,-0.08057586683167352
-0.3389073589018413,0.5749087716851916,-0.07038317833627973,-0.10115361639431544,-0.32367909593241556,-0.5267174797398704,-0.5880166505064283,-0.6113737523555756
-0.4313938766717911,0.3060941729280684,-0.5307687206400765,-0.2645093086693022,-0.31456561717722153,-0.5593711932500204,-0.38444140884611344,-0.6490289072195689
-0.4313938766717911,0.3060941729280684,-0.5307687206400765,-0.2645093086693022,-0.31456561717722153,-0.5593711932500204,-0.38444140884611344,-0.6490289072195689
-0.5778285927242703,-0.5187399321132236,-0.44966480632623035,-0.5459989955027899,-0.4257519526614083,-0.6284046570460001,-0.0035983092255062526,-0.25311697522799176
-0.5778285927242703,-0.5187399321132236,-0.44966480632623035,-0.5459989955027899,-0.4257519526614083,-0.6284046570460001,-0.0035983092255062526,-0.25311697522799176
-0.7640093564987183,-0.4147550523281097,-0.45597721487283704,-0.6613563522696495,-0.5026481404900551,-0.5596171885728836,-0.019901107251644134,-0.3083423346281052
-0.7640093564987183,-0.4147550523281097,-0.45597721487283704,-0.6613563522696495,-0.5026481404900551,-0.5596171885728836,-0.019901107251644134,-0.3083423346281052
-0.6823916183068202,-0.6845676073661218,-0.2255298701616434,-0.46789883306393254,-0.5961843671707007,-0.2934919526943794,-0.1554188969043585,-0.44441221769039446
-0.4538211077451706,-0.7544307768344879,-0.45600945949554444,-0.4629062727093697,-0.442473740875721,-0.27655355632305145,-0.1343493193387985,-0.5430556684732437
-0.6460085928440094,-0.13356918692588807,-0.2963640034198761,-0.3605369389057159,-0.3669732794165611,-0.5046283140778541,-0.2898013949394226,-0.22379513680934907
-0.4308697960593484,-0.8371780785647306,-0.11858311024579135,-0.3646206164901907,-0.4915112107992172,-0.29737923632968555,0.06912097063931552,-0.4601485485380346
-0.4308697960593484,-0.8371780785647306,-0.11858311024579135,-0.3646206164901907,-0.4915112107992172,-0.29737923632968555,0.06912097063931552,-0.4601485485380346
-0.4308697960593484,-0.8371780785647306,-0.11858311024579135,-0.3646206164901907,-0.4915112107992172,-0.29737923632968555,0.06912097063931552,-0.4601485485380346
-0.8892060452037387,-0.12336699499024285,-0.6778933240307702,-0.18255168033970726,-0.6165434320767721,-0.10897956291834514,-0.45508814685874516,-0.7455921272436777
-0.822846332192421,-0.32015763521194457,-0.235828498005867,-0.20013231486082078,-0.10761840045452117,-0.5439822971820831,-0.30822690278291703,-0.6972316473722457
-0.9016150561246005,-0.23530578071420843,-0.57867301187732,-0.07418873364275153,-0.42176722938364203,-0.5192952156066895,-0.388162072409283,-0.802868051962419
-0.9016150561246005,-0.23530578071420843,-0.57867301187732,-0.07418873364275153,-0.42176722938364203,-0.5192952156066895,-0.388162072409283,-0.802868051962419
-0.20686954259872437,-0.7959306140740713,-0.050011670837799706,-0.8707632496953011,-0.28808151682217914,-0.5192480261127154,-0.07778566206494968,-0.6184374690055847
-0.20686954259872437,-0.7959306140740713,-0.050011670837799706,-0.8707632496953011,-0.28808151682217914,-0.5192480261127154,-0.07778566206494968,-0.6184374690055847
-0.39392515787711513,-0.83656373161536,-0.3529240374381726,-0.8154418640411817,-0.1966701906460982,-0.5854807931643266,-0.018337434301009543,-0.4731002908486586
-0.39392515787711513,-0.83656373161536,-0.3529240374381726,-0.8154418640411817,-0.1966701906460982,-0.5854807931643266,-0.018337434301009543,-0.4731002908486586
-0.4678913884692722,-0.8804662475983301,-0.3408566373917792,-0.6807071930832334,-0.18972221430804995,-0.5233499722348319,-0.1600532970494694,-0.27315952049361336
-0.4678913884692722,-0.8804662475983301,-0.3408566373917792,-0.6807071930832334,-0.18972221430804995,-0.5233499722348319,-0.1600532970494694,-0.27315952049361336
-0.3763732872903347,-0.12134005129337311,-0.35332636535167694,-0.3413939718157053,-0.03471113182604313,-0.3393816761672497,-0.10268052667379379,0.031353238970041275
-0.7118174859455654,-0.6252350125994001,-0.4829041191509792,-0.1964453160762787,-0.22959941838468825,-0.762096677507673,-0.3364101690905435,-0.17879246388162887
-0.5763375520706177,-0.31212377846240996,-0.07940939962863922,-0.20212944000959396,-0.1953195035457611,-0.38109868466854097,0.23103978037834166,-0.14877022206783294
-0.5763375520706177,-0.31212377846240996,-0.07940939962863922,-0.20212944000959396,-0.1953195035457611,-0.38109868466854097,0.23103978037834166,-0.14877022206783294
-0.5763375520706177,-0.31212377846240996,-0.07940939962863922,-0.20212944000959396,-0.1953195035457611,-0.38109868466854097,0.23103978037834166,-0.14877022206783294
-0.6415232486195035,-0.46525988976160687,-0.6279379808240466,-0.4569319470061196,-0.2009382744630178,-0.372642093234592,0.01253046260939704,-0.326272404856152
-0.42081778699701483,-0.5863795280456543,-0.5739712715148926,-0.24006823247129266,-0.05291945554993369,-0.39553172209046106,-0.22762508283961902,-0.43196424029090186
