index,type,value,combination,label
91,_xmlNs*,xmlSearchNs,xml	Ns*	xml	Search	Ns	,26
92,i32,xmlC14NVisibleNsStackFind,i32	xml	C14	N	Visible	Ns	Stack	Find	,27
93,i32,xmlStrlen,i32	xml	Strlen	,15
94,i32,xmlC14NVisibleNsStackFind,i32	xml	C14	N	Visible	Ns	Stack	Find	,27
95,_xmlList*,xmlListCreate,xml	List*	xml	List	Create	,17
96,i32,xmlStrEqual,i32	xml	Str	Equal	,16
97,i32,xmlStrEqual,i32	xml	Str	Equal	,16
98,i32,xmlC14NIsXmlNs,i32	xml	C14	N	Is	Xml	Ns	,25
99,_xmlNs*,xmlSearchNs,xml	Ns*	xml	Search	Ns	,26
100,i32,xmlC14NVisibleNsStackFind,i32	xml	C14	N	Visible	Ns	Stack	Find	,27
101,i32,xmlStrlen,i32	xml	Strlen	,15
102,i32,xmlC14NIsXmlNs,i32	xml	C14	N	Is	Xml	Ns	,25
103,_xmlNs*,xmlSearchNs,xml	Ns*	xml	Search	Ns	,26
104,i32,xmlExcC14NVisibleNsStackFind,i32	xml	Exc	C14	N	Visible	Ns	Stack	Find	,-1
105,i32,xmlStrlen,i32	xml	Strlen	,15
106,i32,xmlC14NIsXmlNs,i32	xml	C14	N	Is	Xml	Ns	,25
107,i32,xmlC14NVisibleNsStackFind,i32	xml	C14	N	Visible	Ns	Stack	Find	,27
108,i32,xmlStrlen,i32	xml	Strlen	,15
109,i32,xmlStrlen,i32	xml	Strlen	,15
110,i32,xmlStrlen,i32	xml	Strlen	,15
111,i32,xmlC14NVisibleNsStackFind,i32	xml	C14	N	Visible	Ns	Stack	Find	,27
112,i32,xmlC14NVisibleNsStackFind,i32	xml	C14	N	Visible	Ns	Stack	Find	,27
113,i32,xmlC14NIsXmlNs,i32	xml	C14	N	Is	Xml	Ns	,25
114,i32,xmlStrlen,i32	xml	Strlen	,15
115,i8*,xmlNodeListGetString,i8*	xml	Node	List	Get	String	,14
116,i8*,xmlC11NNormalizeString,i8*	xml	C11	N	Normalize	String	,21
