index,type,value,combination
388,void,"__xmlRaiseError(void (i8*, _xmlError*)* schannel ,void (i8*, i8*, ...)* channel ,i8* data ,i8* ctx ,i8* nod ,i32 domain ,i32 code ,i32 level ,i8* file ,i32 line ,i8* str1 ,i8* str2 ,i8* str3 ,i32 int1 ,i32 col ,i8* msg )",void	xml	Raise	Error	void	i8*	xml	Error*	schannel	void	i8*	i8*	channel	i8*	data	i8*	ctx	i8*	nod	i32	domain	i32	code	i32	level	i8*	file	i32	line	i8*	str	i8*	str	i8*	str	i32	int	i32	col	i8*	msg	
389,void,"__xmlRaiseError(void (i8*, _xmlError*)* schannel ,void (i8*, i8*, ...)* channel ,i8* data ,i8* ctx ,i8* nod ,i32 domain ,i32 code ,i32 level ,i8* file ,i32 line ,i8* str1 ,i8* str2 ,i8* str3 ,i32 int1 ,i32 col ,i8* msg )",void	xml	Raise	Error	void	i8*	xml	Error*	schannel	void	i8*	i8*	channel	i8*	data	i8*	ctx	i8*	nod	i32	domain	i32	code	i32	level	i8*	file	i32	line	i8*	str	i8*	str	i8*	str	i32	int	i32	col	i8*	msg	
390,void,"__xmlRaiseError(void (i8*, _xmlError*)* schannel ,void (i8*, i8*, ...)* channel ,i8* data ,i8* ctx ,i8* nod ,i32 domain ,i32 code ,i32 level ,i8* file ,i32 line ,i8* str1 ,i8* str2 ,i8* str3 ,i32 int1 ,i32 col ,i8* msg )",void	xml	Raise	Error	void	i8*	xml	Error*	schannel	void	i8*	i8*	channel	i8*	data	i8*	ctx	i8*	nod	i32	domain	i32	code	i32	level	i8*	file	i32	line	i8*	str	i8*	str	i8*	str	i32	int	i32	col	i8*	msg	
391,void,"__xmlRaiseError(void (i8*, _xmlError*)* schannel ,void (i8*, i8*, ...)* channel ,i8* data ,i8* ctx ,i8* nod ,i32 domain ,i32 code ,i32 level ,i8* file ,i32 line ,i8* str1 ,i8* str2 ,i8* str3 ,i32 int1 ,i32 col ,i8* msg )",void	xml	Raise	Error	void	i8*	xml	Error*	schannel	void	i8*	i8*	channel	i8*	data	i8*	ctx	i8*	nod	i32	domain	i32	code	i32	level	i8*	file	i32	line	i8*	str	i8*	str	i8*	str	i32	int	i32	col	i8*	msg	
392,void,"__xmlRaiseError(void (i8*, _xmlError*)* schannel ,void (i8*, i8*, ...)* channel ,i8* data ,i8* ctx ,i8* nod ,i32 domain ,i32 code ,i32 level ,i8* file ,i32 line ,i8* str1 ,i8* str2 ,i8* str3 ,i32 int1 ,i32 col ,i8* msg )",void	xml	Raise	Error	void	i8*	xml	Error*	schannel	void	i8*	i8*	channel	i8*	data	i8*	ctx	i8*	nod	i32	domain	i32	code	i32	level	i8*	file	i32	line	i8*	str	i8*	str	i8*	str	i32	int	i32	col	i8*	msg	
393,void,"__xmlRaiseError(void (i8*, _xmlError*)* schannel ,void (i8*, i8*, ...)* channel ,i8* data ,i8* ctx ,i8* nod ,i32 domain ,i32 code ,i32 level ,i8* file ,i32 line ,i8* str1 ,i8* str2 ,i8* str3 ,i32 int1 ,i32 col ,i8* msg )",void	xml	Raise	Error	void	i8*	xml	Error*	schannel	void	i8*	i8*	channel	i8*	data	i8*	ctx	i8*	nod	i32	domain	i32	code	i32	level	i8*	file	i32	line	i8*	str	i8*	str	i8*	str	i32	int	i32	col	i8*	msg	
394,void,"__xmlRaiseError(void (i8*, _xmlError*)* schannel ,void (i8*, i8*, ...)* channel ,i8* data ,i8* ctx ,i8* nod ,i32 domain ,i32 code ,i32 level ,i8* file ,i32 line ,i8* str1 ,i8* str2 ,i8* str3 ,i32 int1 ,i32 col ,i8* msg )",void	xml	Raise	Error	void	i8*	xml	Error*	schannel	void	i8*	i8*	channel	i8*	data	i8*	ctx	i8*	nod	i32	domain	i32	code	i32	level	i8*	file	i32	line	i8*	str	i8*	str	i8*	str	i32	int	i32	col	i8*	msg	
395,void,"__xmlRaiseError(void (i8*, _xmlError*)* schannel ,void (i8*, i8*, ...)* channel ,i8* data ,i8* ctx ,i8* nod ,i32 domain ,i32 code ,i32 level ,i8* file ,i32 line ,i8* str1 ,i8* str2 ,i8* str3 ,i32 int1 ,i32 col ,i8* msg )",void	xml	Raise	Error	void	i8*	xml	Error*	schannel	void	i8*	i8*	channel	i8*	data	i8*	ctx	i8*	nod	i32	domain	i32	code	i32	level	i8*	file	i32	line	i8*	str	i8*	str	i8*	str	i32	int	i32	col	i8*	msg	
396,void,"__xmlSimpleError(i32 domain ,i32 code ,_xmlNode* node ,i8* msg ,i8* extra )",void	xml	Simple	Error	i32	domain	i32	code	xml	Node*	node	i8*	msg	i8*	extra	
397,void,"__xmlSimpleError(i32 domain ,i32 code ,_xmlNode* node ,i8* msg ,i8* extra )",void	xml	Simple	Error	i32	domain	i32	code	xml	Node*	node	i8*	msg	i8*	extra	
398,void,xmlResetError(_xmlError* err ),void	xml	Reset	Error	xml	Error*	err	
399,void,"initGenericErrorDefaultFunc(void (i8*, i8*, ...)** handler )",void	init	Generic	Error	Default	Func	void	i8*	i8*	handler	
400,i32,"xmlCopyError(_xmlError* from ,_xmlError* to )",i32	xml	Copy	Error	xml	Error*	from	xml	Error*	to	
401,i32,"xmlCopyError(_xmlError* from ,_xmlError* to )",i32	xml	Copy	Error	xml	Error*	from	xml	Error*	to	
402,job*,"parseJob(_xmlDoc* doc ,_xmlNs* ns ,_xmlNode* cur )",job	parse	Job	xml	Doc*	doc	xml	Ns*	ns	xml	Node*	cur	
403,job*,"parseJob(_xmlDoc* doc ,_xmlNs* ns ,_xmlNode* cur )",job	parse	Job	xml	Doc*	doc	xml	Ns*	ns	xml	Node*	cur	
404,job*,"parseJob(_xmlDoc* doc ,_xmlNs* ns ,_xmlNode* cur )",job	parse	Job	xml	Doc*	doc	xml	Ns*	ns	xml	Node*	cur	
405,job*,"parseJob(_xmlDoc* doc ,_xmlNs* ns ,_xmlNode* cur )",job	parse	Job	xml	Doc*	doc	xml	Ns*	ns	xml	Node*	cur	
406,job*,"parseJob(_xmlDoc* doc ,_xmlNs* ns ,_xmlNode* cur )",job	parse	Job	xml	Doc*	doc	xml	Ns*	ns	xml	Node*	cur	
407,void,printJob(job* cur ),void	print	Job	job	cur	
408,i32,"main(i32 argc ,i8** argv )",i32	main	i32	argc	i	argv	
409,person*,"parsePerson(_xmlDoc* doc ,_xmlNs* ns ,_xmlNode* cur )",person	parse	Person	xml	Doc*	doc	xml	Ns*	ns	xml	Node*	cur	
410,person*,"parsePerson(_xmlDoc* doc ,_xmlNs* ns ,_xmlNode* cur )",person	parse	Person	xml	Doc*	doc	xml	Ns*	ns	xml	Node*	cur	
411,person*,"parsePerson(_xmlDoc* doc ,_xmlNs* ns ,_xmlNode* cur )",person	parse	Person	xml	Doc*	doc	xml	Ns*	ns	xml	Node*	cur	
412,void,printPerson(person* cur ),void	print	Person	person	cur	
413,void,"xmlThrDefSetGenericErrorFunc(i8* ctx ,void (i8*, i8*, ...)* handler )",void	xml	Thr	Def	Set	Generic	Error	Func	i8*	ctx	void	i8*	i8*	handler	
414,i32,xmlHashSize(_xmlHashTable* table ),i32	xml	Hash	Size	xml	Hash	Table*	table	
415,i64,"xmlHashComputeKey(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 )",i64	xml	Hash	Compute	Key	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	
416,i32,"xmlHashRemoveEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,void (i8*, i8*)* f )",i32	xml	Hash	Remove	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	void	i8*	i8*	f	
417,i32,"xmlHashRemoveEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,void (i8*, i8*)* f )",i32	xml	Hash	Remove	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	void	i8*	i8*	f	
418,i32,"xmlHashRemoveEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,void (i8*, i8*)* f )",i32	xml	Hash	Remove	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	void	i8*	i8*	f	
419,i64,"xmlHashComputeQKey(_xmlHashTable* table ,i8* prefix ,i8* name ,i8* prefix2 ,i8* name2 ,i8* prefix3 ,i8* name3 )",i64	xml	Hash	Compute	Q	Key	xml	Hash	Table*	table	i8*	prefix	i8*	name	i8*	prefix	i8*	name	i8*	prefix	i8*	name	
420,i64,"xmlHashComputeQKey(_xmlHashTable* table ,i8* prefix ,i8* name ,i8* prefix2 ,i8* name2 ,i8* prefix3 ,i8* name3 )",i64	xml	Hash	Compute	Q	Key	xml	Hash	Table*	table	i8*	prefix	i8*	name	i8*	prefix	i8*	name	i8*	prefix	i8*	name	
421,i64,"xmlHashComputeQKey(_xmlHashTable* table ,i8* prefix ,i8* name ,i8* prefix2 ,i8* name2 ,i8* prefix3 ,i8* name3 )",i64	xml	Hash	Compute	Q	Key	xml	Hash	Table*	table	i8*	prefix	i8*	name	i8*	prefix	i8*	name	i8*	prefix	i8*	name	
422,i64,"xmlHashComputeQKey(_xmlHashTable* table ,i8* prefix ,i8* name ,i8* prefix2 ,i8* name2 ,i8* prefix3 ,i8* name3 )",i64	xml	Hash	Compute	Q	Key	xml	Hash	Table*	table	i8*	prefix	i8*	name	i8*	prefix	i8*	name	i8*	prefix	i8*	name	
423,i64,"xmlHashComputeQKey(_xmlHashTable* table ,i8* prefix ,i8* name ,i8* prefix2 ,i8* name2 ,i8* prefix3 ,i8* name3 )",i64	xml	Hash	Compute	Q	Key	xml	Hash	Table*	table	i8*	prefix	i8*	name	i8*	prefix	i8*	name	i8*	prefix	i8*	name	
424,i64,"xmlHashComputeQKey(_xmlHashTable* table ,i8* prefix ,i8* name ,i8* prefix2 ,i8* name2 ,i8* prefix3 ,i8* name3 )",i64	xml	Hash	Compute	Q	Key	xml	Hash	Table*	table	i8*	prefix	i8*	name	i8*	prefix	i8*	name	i8*	prefix	i8*	name	
425,i64,"xmlHashComputeQKey(_xmlHashTable* table ,i8* prefix ,i8* name ,i8* prefix2 ,i8* name2 ,i8* prefix3 ,i8* name3 )",i64	xml	Hash	Compute	Q	Key	xml	Hash	Table*	table	i8*	prefix	i8*	name	i8*	prefix	i8*	name	i8*	prefix	i8*	name	
426,_xmlHashTable*,xmlHashCreate(i32 size ),xml	Hash	Table*	xml	Hash	Create	i32	size	
427,i32,"xmlHashGrow(_xmlHashTable* table ,i32 size )",i32	xml	Hash	Grow	xml	Hash	Table*	table	i32	size	
428,i32,"xmlHashGrow(_xmlHashTable* table ,i32 size )",i32	xml	Hash	Grow	xml	Hash	Table*	table	i32	size	
429,i32,"xmlHashGrow(_xmlHashTable* table ,i32 size )",i32	xml	Hash	Grow	xml	Hash	Table*	table	i32	size	
430,void,"xmlHashFree(_xmlHashTable* table ,void (i8*, i8*)* f )",void	xml	Hash	Free	xml	Hash	Table*	table	void	i8*	i8*	f	
431,void,"xmlHashFree(_xmlHashTable* table ,void (i8*, i8*)* f )",void	xml	Hash	Free	xml	Hash	Table*	table	void	i8*	i8*	f	
432,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
433,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
434,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
435,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
436,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
437,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
438,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
439,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
440,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
441,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
442,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
443,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
444,i32,"xmlHashAddEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata )",i32	xml	Hash	Add	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	
445,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
446,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
447,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
448,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
449,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
450,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
451,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
452,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
453,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
454,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
455,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
456,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
457,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
458,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
459,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
460,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
461,i32,"xmlHashUpdateEntry3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,i8* userdata ,void (i8*, i8*)* f )",i32	xml	Hash	Update	Entry3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	i8*	userdata	void	i8*	i8*	f	
462,i8*,"xmlHashLookup3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 )",i8*	xml	Hash	Lookup3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	
463,i8*,"xmlHashLookup3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 )",i8*	xml	Hash	Lookup3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	
464,i8*,"xmlHashLookup3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 )",i8*	xml	Hash	Lookup3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	
465,i8*,"xmlHashLookup3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 )",i8*	xml	Hash	Lookup3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	
466,i8*,"xmlHashLookup3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 )",i8*	xml	Hash	Lookup3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	
467,i8*,"xmlHashQLookup3(_xmlHashTable* table ,i8* prefix ,i8* name ,i8* prefix2 ,i8* name2 ,i8* prefix3 ,i8* name3 )",i8*	xml	Hash	Q	Lookup3	xml	Hash	Table*	table	i8*	prefix	i8*	name	i8*	prefix	i8*	name	i8*	prefix	i8*	name	
468,i8*,"xmlHashQLookup3(_xmlHashTable* table ,i8* prefix ,i8* name ,i8* prefix2 ,i8* name2 ,i8* prefix3 ,i8* name3 )",i8*	xml	Hash	Q	Lookup3	xml	Hash	Table*	table	i8*	prefix	i8*	name	i8*	prefix	i8*	name	i8*	prefix	i8*	name	
469,void,"xmlHashScanFull(_xmlHashTable* table ,void (i8*, i8*, i8*, i8*, i8*)* f ,i8* data )",void	xml	Hash	Scan	Full	xml	Hash	Table*	table	void	i8*	i8*	i8*	i8*	i8*	f	i8*	data	
470,void,"xmlHashScanFull(_xmlHashTable* table ,void (i8*, i8*, i8*, i8*, i8*)* f ,i8* data )",void	xml	Hash	Scan	Full	xml	Hash	Table*	table	void	i8*	i8*	i8*	i8*	i8*	f	i8*	data	
471,void,"xmlHashScanFull(_xmlHashTable* table ,void (i8*, i8*, i8*, i8*, i8*)* f ,i8* data )",void	xml	Hash	Scan	Full	xml	Hash	Table*	table	void	i8*	i8*	i8*	i8*	i8*	f	i8*	data	
472,i64,"xmlHashComputeKey(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 )",i64	xml	Hash	Compute	Key	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	
473,void,"xmlHashScanFull3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,void (i8*, i8*, i8*, i8*, i8*)* f ,i8* data )",void	xml	Hash	Scan	Full3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	void	i8*	i8*	i8*	i8*	i8*	f	i8*	data	
474,void,"xmlHashScanFull3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,void (i8*, i8*, i8*, i8*, i8*)* f ,i8* data )",void	xml	Hash	Scan	Full3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	void	i8*	i8*	i8*	i8*	i8*	f	i8*	data	
475,void,"xmlHashScanFull3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,void (i8*, i8*, i8*, i8*, i8*)* f ,i8* data )",void	xml	Hash	Scan	Full3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	void	i8*	i8*	i8*	i8*	i8*	f	i8*	data	
476,void,"xmlHashScanFull3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,void (i8*, i8*, i8*, i8*, i8*)* f ,i8* data )",void	xml	Hash	Scan	Full3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	void	i8*	i8*	i8*	i8*	i8*	f	i8*	data	
477,void,"xmlHashScanFull3(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 ,void (i8*, i8*, i8*, i8*, i8*)* f ,i8* data )",void	xml	Hash	Scan	Full3	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	void	i8*	i8*	i8*	i8*	i8*	f	i8*	data	
478,i64,"xmlHashComputeKey(_xmlHashTable* table ,i8* name ,i8* name2 ,i8* name3 )",i64	xml	Hash	Compute	Key	xml	Hash	Table*	table	i8*	name	i8*	name	i8*	name	
479,_xmlHashTable*,"xmlHashCopy(_xmlHashTable* table ,i8* (i8*, i8*)* f )",xml	Hash	Table*	xml	Hash	Copy	xml	Hash	Table*	table	i8*	i8*	i8*	f	
480,_xmlHashTable*,"xmlHashCopy(_xmlHashTable* table ,i8* (i8*, i8*)* f )",xml	Hash	Table*	xml	Hash	Copy	xml	Hash	Table*	table	i8*	i8*	i8*	f	
481,void,"htmlParseErr(_xmlParserCtxt* ctxt ,i32 error ,i8* msg ,i8* str1 ,i8* str2 )",void	html	Parse	Err	xml	Parser	Ctxt*	ctxt	i32	error	i8*	msg	i8*	str	i8*	str	
482,void,"htmlParseErr(_xmlParserCtxt* ctxt ,i32 error ,i8* msg ,i8* str1 ,i8* str2 )",void	html	Parse	Err	xml	Parser	Ctxt*	ctxt	i32	error	i8*	msg	i8*	str	i8*	str	
483,void,"htmlParseErr(_xmlParserCtxt* ctxt ,i32 error ,i8* msg ,i8* str1 ,i8* str2 )",void	html	Parse	Err	xml	Parser	Ctxt*	ctxt	i32	error	i8*	msg	i8*	str	i8*	str	
484,i32,"htmlAutoCloseTag(_xmlDoc* doc ,i8* name ,_xmlNode* elem )",i32	html	Auto	Close	Tag	xml	Doc*	doc	i8*	name	xml	Node*	elem	
485,i32,"htmlIsAutoClosed(_xmlDoc* doc ,_xmlNode* elem )",i32	html	Is	Auto	Closed	xml	Doc*	doc	xml	Node*	elem	
486,i32,htmlIsScriptAttribute(i8* name ),i32	html	Is	Script	Attribute	i8*	name	
487,_htmlEntityDesc*,htmlEntityValueLookup(i32 value ),html	Entity	Desc*	html	Entity	Value	Lookup	i32	value	
488,_htmlEntityDesc*,htmlEntityValueLookup(i32 value ),html	Entity	Desc*	html	Entity	Value	Lookup	i32	value	
489,i32,"UTF8ToHtml(i8* out ,i32* outlen ,i8* in ,i32* inlen )",i32	U	T	F8	To	Html	i8*	out	i	outlen	i8*	in	i	inlen	
490,i32,"UTF8ToHtml(i8* out ,i32* outlen ,i8* in ,i32* inlen )",i32	U	T	F8	To	Html	i8*	out	i	outlen	i8*	in	i	inlen	
491,i32,"UTF8ToHtml(i8* out ,i32* outlen ,i8* in ,i32* inlen )",i32	U	T	F8	To	Html	i8*	out	i	outlen	i8*	in	i	inlen	
492,i32,"UTF8ToHtml(i8* out ,i32* outlen ,i8* in ,i32* inlen )",i32	U	T	F8	To	Html	i8*	out	i	outlen	i8*	in	i	inlen	
493,i32,"UTF8ToHtml(i8* out ,i32* outlen ,i8* in ,i32* inlen )",i32	U	T	F8	To	Html	i8*	out	i	outlen	i8*	in	i	inlen	
494,i32,"UTF8ToHtml(i8* out ,i32* outlen ,i8* in ,i32* inlen )",i32	U	T	F8	To	Html	i8*	out	i	outlen	i8*	in	i	inlen	
