index,type,value,combination,label
40,i32,"xmlBufResetInput(_xmlBuf* buf ,_xmlParserInput* input )",i32	xml	Buf	Reset	Input	xml	Buf*	buf	xml	Parser	Input*	input	,10
41,i32,"xmlBufResetInput(_xmlBuf* buf ,_xmlParserInput* input )",i32	xml	Buf	Reset	Input	xml	Buf*	buf	xml	Parser	Input*	input	,10
42,i64,"xmlBufGetInputBase(_xmlBuf* buf ,_xmlParserInput* input )",i64	xml	Buf	Get	Input	Base	xml	Buf*	buf	xml	Parser	Input*	input	,11
43,i64,"xmlBufGetInputBase(_xmlBuf* buf ,_xmlParserInput* input )",i64	xml	Buf	Get	Input	Base	xml	Buf*	buf	xml	Parser	Input*	input	,11
44,i32,"xmlBufSetInputBaseCur(_xmlBuf* buf ,_xmlParserInput* input ,i64 base ,i64 cur )",i32	xml	Buf	Set	Input	Base	Cur	xml	Buf*	buf	xml	Parser	Input*	input	i64	base	i64	cur	,12
45,i32,"xmlBufSetInputBaseCur(_xmlBuf* buf ,_xmlParserInput* input ,i64 base ,i64 cur )",i32	xml	Buf	Set	Input	Base	Cur	xml	Buf*	buf	xml	Parser	Input*	input	i64	base	i64	cur	,12
46,_xmlBuf*,xmlBufCreateSize(i64 size ),xml	Buf*	xml	Buf	Create	Size	i64	size	,-1
47,i8*,xmlBufDetach(_xmlBuf* buf ),i8*	xml	Buf	Detach	xml	Buf*	buf	,-1
48,_xmlBuf*,"xmlBufCreateStatic(i8* mem ,i64 size )",xml	Buf*	xml	Buf	Create	Static	i8*	mem	i64	size	,13
49,_xmlBuf*,"xmlBufCreateStatic(i8* mem ,i64 size )",xml	Buf*	xml	Buf	Create	Static	i8*	mem	i64	size	,13
50,_xmlBuf*,"xmlBufCreateStatic(i8* mem ,i64 size )",xml	Buf*	xml	Buf	Create	Static	i8*	mem	i64	size	,13
51,i32,xmlBufGetAllocationScheme(_xmlBuf* buf ),i32	xml	Buf	Get	Allocation	Scheme	xml	Buf*	buf	,-1
52,i32,"xmlBufSetAllocationScheme(_xmlBuf* buf ,i32 scheme )",i32	xml	Buf	Set	Allocation	Scheme	xml	Buf*	buf	i32	scheme	,14
53,i32,"xmlBufSetAllocationScheme(_xmlBuf* buf ,i32 scheme )",i32	xml	Buf	Set	Allocation	Scheme	xml	Buf*	buf	i32	scheme	,14
54,i32,"xmlBufSetAllocationScheme(_xmlBuf* buf ,i32 scheme )",i32	xml	Buf	Set	Allocation	Scheme	xml	Buf*	buf	i32	scheme	,14
55,i32,"xmlBufSetAllocationScheme(_xmlBuf* buf ,i32 scheme )",i32	xml	Buf	Set	Allocation	Scheme	xml	Buf*	buf	i32	scheme	,14
56,i32,"xmlBufSetAllocationScheme(_xmlBuf* buf ,i32 scheme )",i32	xml	Buf	Set	Allocation	Scheme	xml	Buf*	buf	i32	scheme	,14
57,i32,"xmlBufSetAllocationScheme(_xmlBuf* buf ,i32 scheme )",i32	xml	Buf	Set	Allocation	Scheme	xml	Buf*	buf	i32	scheme	,14
58,i32,"xmlBufSetAllocationScheme(_xmlBuf* buf ,i32 scheme )",i32	xml	Buf	Set	Allocation	Scheme	xml	Buf*	buf	i32	scheme	,14
59,void,xmlBufFree(_xmlBuf* buf ),void	xml	Buf	Free	xml	Buf*	buf	,-1
60,void,xmlBufEmpty(_xmlBuf* buf ),void	xml	Buf	Empty	xml	Buf*	buf	,-1
61,i64,"xmlBufShrink(_xmlBuf* buf ,i64 len )",i64	xml	Buf	Shrink	xml	Buf*	buf	i64	len	,15
62,i64,"xmlBufShrink(_xmlBuf* buf ,i64 len )",i64	xml	Buf	Shrink	xml	Buf*	buf	i64	len	,15
63,i64,"xmlBufShrink(_xmlBuf* buf ,i64 len )",i64	xml	Buf	Shrink	xml	Buf*	buf	i64	len	,15
64,i64,"xmlBufGrowInternal(_xmlBuf* buf ,i64 len )",i64	xml	Buf	Grow	Internal	xml	Buf*	buf	i64	len	,16
65,i64,"xmlBufGrowInternal(_xmlBuf* buf ,i64 len )",i64	xml	Buf	Grow	Internal	xml	Buf*	buf	i64	len	,16
66,i64,"xmlBufGrowInternal(_xmlBuf* buf ,i64 len )",i64	xml	Buf	Grow	Internal	xml	Buf*	buf	i64	len	,16
67,i64,"xmlBufGrowInternal(_xmlBuf* buf ,i64 len )",i64	xml	Buf	Grow	Internal	xml	Buf*	buf	i64	len	,16
68,i32,"xmlBufGrow(_xmlBuf* buf ,i32 len )",i32	xml	Buf	Grow	xml	Buf*	buf	i32	len	,17
69,i32,"xmlBufGrow(_xmlBuf* buf ,i32 len )",i32	xml	Buf	Grow	xml	Buf*	buf	i32	len	,17
70,i32,"xmlBufGrow(_xmlBuf* buf ,i32 len )",i32	xml	Buf	Grow	xml	Buf*	buf	i32	len	,17
71,i32,"xmlBufInflate(_xmlBuf* buf ,i64 len )",i32	xml	Buf	Inflate	xml	Buf*	buf	i64	len	,-1
72,i64,"xmlBufDump(_IO_FILE* file ,_xmlBuf* buf )",i64	xml	Buf	Dump	I	O	F	I	L	E*	file	xml	Buf*	buf	,18
73,i64,"xmlBufDump(_IO_FILE* file ,_xmlBuf* buf )",i64	xml	Buf	Dump	I	O	F	I	L	E*	file	xml	Buf*	buf	,18
74,i8*,xmlBufContent(_xmlBuf* buf ),i8*	xml	Buf	Content	xml	Buf*	buf	,-1
75,i8*,xmlBufEnd(_xmlBuf* buf ),i8*	xml	Buf	End	xml	Buf*	buf	,-1
76,i32,"xmlBufAddLen(_xmlBuf* buf ,i64 len )",i32	xml	Buf	Add	Len	xml	Buf*	buf	i64	len	,19
77,i32,"xmlBufAddLen(_xmlBuf* buf ,i64 len )",i32	xml	Buf	Add	Len	xml	Buf*	buf	i64	len	,19
78,i32,"xmlBufErase(_xmlBuf* buf ,i64 len )",i32	xml	Buf	Erase	xml	Buf*	buf	i64	len	,20
79,i32,"xmlBufErase(_xmlBuf* buf ,i64 len )",i32	xml	Buf	Erase	xml	Buf*	buf	i64	len	,20
80,i64,xmlBufLength(_xmlBuf* buf ),i64	xml	Buf	Length	xml	Buf*	buf	,-1
81,i64,xmlBufUse(_xmlBuf* buf ),i64	xml	Buf	Use	xml	Buf*	buf	,-1
82,i64,xmlBufAvail(_xmlBuf* buf ),i64	xml	Buf	Avail	xml	Buf*	buf	,-1
83,i32,xmlBufIsEmpty(_xmlBuf* buf ),i32	xml	Buf	Is	Empty	xml	Buf*	buf	,-1
84,i32,"xmlBufResize(_xmlBuf* buf ,i64 size )",i32	xml	Buf	Resize	xml	Buf*	buf	i64	size	,21
85,i32,"xmlBufResize(_xmlBuf* buf ,i64 size )",i32	xml	Buf	Resize	xml	Buf*	buf	i64	size	,21
86,i32,"xmlBufResize(_xmlBuf* buf ,i64 size )",i32	xml	Buf	Resize	xml	Buf*	buf	i64	size	,21
87,i32,"xmlBufResize(_xmlBuf* buf ,i64 size )",i32	xml	Buf	Resize	xml	Buf*	buf	i64	size	,21
88,i32,"xmlBufResize(_xmlBuf* buf ,i64 size )",i32	xml	Buf	Resize	xml	Buf*	buf	i64	size	,21
89,i32,"xmlBufAdd(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	xml	Buf*	buf	i8*	str	i32	len	,22
90,i32,"xmlBufAdd(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	xml	Buf*	buf	i8*	str	i32	len	,22
91,i32,"xmlBufAdd(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	xml	Buf*	buf	i8*	str	i32	len	,22
92,i32,"xmlBufAdd(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	xml	Buf*	buf	i8*	str	i32	len	,22
93,i32,"xmlBufAdd(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	xml	Buf*	buf	i8*	str	i32	len	,22
94,i32,"xmlBufAdd(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	xml	Buf*	buf	i8*	str	i32	len	,22
95,i32,"xmlBufAdd(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	xml	Buf*	buf	i8*	str	i32	len	,22
96,i32,"xmlBufAddHead(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	Head	xml	Buf*	buf	i8*	str	i32	len	,23
97,i32,"xmlBufAddHead(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	Head	xml	Buf*	buf	i8*	str	i32	len	,23
98,i32,"xmlBufAddHead(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	Head	xml	Buf*	buf	i8*	str	i32	len	,23
99,i32,"xmlBufAddHead(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	Head	xml	Buf*	buf	i8*	str	i32	len	,23
100,void,"xmlBufMemoryError(_xmlBuf* buf ,i8* extra )",void	xml	Buf	Memory	Error	xml	Buf*	buf	i8*	extra	,-1
101,i32,"xmlBufAddHead(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	Head	xml	Buf*	buf	i8*	str	i32	len	,23
102,i32,"xmlBufAddHead(_xmlBuf* buf ,i8* str ,i32 len )",i32	xml	Buf	Add	Head	xml	Buf*	buf	i8*	str	i32	len	,23
103,_xmlAttr*,"xmlC14NFixupBaseAttr(_xmlC14NCtx* ctx ,_xmlAttr* xml_base_attr )",xml	Attr*	xml	C14	N	Fixup	Base	Attr	xml	C14	N	Ctx*	ctx	xml	Attr*	xml	base	attr	,24
104,_xmlAttr*,"xmlC14NFixupBaseAttr(_xmlC14NCtx* ctx ,_xmlAttr* xml_base_attr )",xml	Attr*	xml	C14	N	Fixup	Base	Attr	xml	C14	N	Ctx*	ctx	xml	Attr*	xml	base	attr	,24
105,i32,"xmlC14NProcessAttrsAxis(_xmlC14NCtx* ctx ,_xmlNode* cur ,i32 parent_visible )",i32	xml	C14	N	Process	Attrs	Axis	xml	C14	N	Ctx*	ctx	xml	Node*	cur	i32	parent	visible	,25
106,i32,"xmlC14NProcessAttrsAxis(_xmlC14NCtx* ctx ,_xmlNode* cur ,i32 parent_visible )",i32	xml	C14	N	Process	Attrs	Axis	xml	C14	N	Ctx*	ctx	xml	Node*	cur	i32	parent	visible	,25
107,i32,"xmlC14NProcessAttrsAxis(_xmlC14NCtx* ctx ,_xmlNode* cur ,i32 parent_visible )",i32	xml	C14	N	Process	Attrs	Axis	xml	C14	N	Ctx*	ctx	xml	Node*	cur	i32	parent	visible	,25
108,i32,"xmlC14NProcessAttrsAxis(_xmlC14NCtx* ctx ,_xmlNode* cur ,i32 parent_visible )",i32	xml	C14	N	Process	Attrs	Axis	xml	C14	N	Ctx*	ctx	xml	Node*	cur	i32	parent	visible	,25
109,i32,"xmlC14NProcessAttrsAxis(_xmlC14NCtx* ctx ,_xmlNode* cur ,i32 parent_visible )",i32	xml	C14	N	Process	Attrs	Axis	xml	C14	N	Ctx*	ctx	xml	Node*	cur	i32	parent	visible	,25
110,i32,"xmlC14NCheckForRelativeNamespaces(_xmlC14NCtx* ctx ,_xmlNode* cur )",i32	xml	C14	N	Check	For	Relative	Namespaces	xml	C14	N	Ctx*	ctx	xml	Node*	cur	,26
