,file,line,source 1,source 2,source 3,label,count,taken
122,buf.c,751,global_42,global_15,,0,,
123,buf.c,760,global_42,global_12,,0,,
124,buf.c,871+,global_43,global_15,,0,,
125,buf.c,871,global_43,global_7,,0,1,0
126,buf.c,876,global_43,global_1,,0,1,0
127,buf.c,883,global_43,global_1,,0,1,1
128,buf.c,885,global_43,global_1,,0,1,1
129,buf.c,888,global_43,global_1,,0,1,1
130,buf.c,889,global_43,global_1,,0,1,1
131,buf.c,902,function_14,global_1,,0,,
132,buf.c,931,global_43,global_15,,0,,
133,buf.c,935,global_43,global_7,,0,,
134,buf.c,942,global_43,global_1,,0,,
135,buf.c,949,global_43,global_1,,0,,
136,buf.c,95,global_44,global_15,,0,,
137,buf.c,951,global_43,global_1,,0,,
138,buf.c,954,global_43,global_1,,0,,
139,buf.c,982,function_14,global_1,,0,,
140,c14n.c,1010+,global_45,global_18,,0,,
141,c14n.c,1010,global_45,global_19,,0,,
142,c14n.c,1026,function_16,global_18,,0,,
143,c14n.c,1029,function_17,global_7,,0,,
144,c14n.c,1039,function_18,global_1,,0,,
145,c14n.c,1041,function_19,global_7,,0,,
146,c14n.c,1054,function_19,global_7,,0,,
147,c14n.c,1073+,function_20,global_1,,0,,
148,c14n.c,1080,function_16,global_18,,0,,
149,c14n.c,1137+,global_46,global_8,,0,,
150,c14n.c,1137,global_46,global_19,,0,,
151,c14n.c,1146,function_21,global_20,,0,,
152,c14n.c,1179,global_46,global_1,,0,,
153,c14n.c,1192,function_22,global_1,,0,,
154,c14n.c,1193,function_-1,global_7,,0,,
155,c14n.c,1259+,function_22,global_1,,0,,
156,c14n.c,1259,global_46,global_1,,0,,
157,c14n.c,1268++,function_20,global_1,,0,,
158,c14n.c,1272++,function_20,global_1,,0,,
159,c14n.c,1278++,function_20,global_1,,0,,
160,c14n.c,1294,global_46,global_1,,0,,
161,c14n.c,1358+,global_47,global_8,,0,,
162,c14n.c,1358,global_47,global_19,,0,,
163,c14n.c,1365,function_18,global_1,,0,,
164,c14n.c,1369,function_23,global_22,,0,,
165,c14n.c,1373,function_18,global_1,,0,,
166,c14n.c,1378,function_24,global_1,,0,,
167,c14n.c,1379,function_24,global_1,,0,,
168,c14n.c,1380,function_18,global_1,,0,,
169,c14n.c,1422+,global_48,global_8,,0,,
170,c14n.c,1422,global_48,global_19,,0,,
171,c14n.c,1432,function_-1,global_1,,0,,
172,c14n.c,1444,global_48,global_1,,0,,
173,c14n.c,1453+,function_18,global_1,,0,,
174,c14n.c,1466,function_25,global_1,,0,,
175,c14n.c,1471,global_48,global_1,,0,,
176,c14n.c,1476,function_25,global_1,,0,,
177,c14n.c,1481,global_48,global_1,,0,,
178,c14n.c,1486,function_25,global_1,,0,,
179,c14n.c,1491,global_48,global_1,,0,,
180,c14n.c,1493+,function_18,global_1,,0,,
181,c14n.c,1529+,global_48,global_8,,0,,
182,c14n.c,1529,global_48,global_19,,0,,
183,c14n.c,1554,function_26,global_7,,0,,
184,c14n.c,1593,function_26,global_7,,0,,
185,c14n.c,1638,function_26,global_7,,0,,
186,c14n.c,1719,global_48,global_19,,0,,
187,c14n.c,1724,global_48,global_8,,0,,
188,c14n.c,1741,global_49,global_19,,0,,
189,c14n.c,1781+,global_50,global_24,,0,,
190,c14n.c,1781,global_50,global_2,,0,,
191,c14n.c,1876+,global_50,global_2,,0,,
192,c14n.c,1876,global_50,global_24,,0,,
193,c14n.c,1906,function_-1,global_19,,0,,
194,c14n.c,1924,function_27,global_1,,0,,
195,c14n.c,1935,function_27,global_1,,0,,
196,c14n.c,2012,global_51,global_26,,0,,
197,c14n.c,2023,function_-1,global_24,,0,,
198,c14n.c,2033,function_28,global_1,,0,,
199,c14n.c,2040,function_28,global_1,,0,,
200,c14n.c,2045+,function_28,global_1,,0,,
201,c14n.c,2045,global_51,global_7,,0,,
202,c14n.c,2083,global_51,global_7,,0,,
203,c14n.c,2096,function_29,global_24,,0,,
204,c14n.c,2106,function_28,global_1,,0,,
205,c14n.c,2155,global_52,global_7,,0,,
206,c14n.c,2177+,global_52,global_1,,0,,
207,c14n.c,2178,global_52,global_1,,0,,
208,c14n.c,2183+,global_52,global_1,,0,,
209,c14n.c,2188+,global_52,global_1,,0,,
210,c14n.c,2189,global_52,global_1,,0,,
211,c14n.c,2195+,global_52,global_1,,0,,
212,c14n.c,2202+,global_52,global_1,,0,,
213,c14n.c,2208+,global_52,global_1,,0,,
214,c14n.c,2214+,global_52,global_1,,0,,
215,c14n.c,2215,global_52,global_1,,0,,
216,c14n.c,2216,global_52,global_1,,0,,
217,c14n.c,2217,global_52,global_1,,0,,
218,c14n.c,239,global_48,global_19,,0,,
219,c14n.c,256+,global_53,global_8,,0,,
220,c14n.c,256,global_53,global_3,,0,,
221,c14n.c,265,global_53,global_8,,0,,
222,c14n.c,296,global_54,global_23,,0,,
223,c14n.c,315,global_55,global_23,,0,,
224,c14n.c,361+,global_54,global_23,,0,,
225,c14n.c,361,global_54,global_23,,0,,
226,c14n.c,373+,global_54,global_23,,0,,
227,c14n.c,373,global_54,global_23,,0,,
228,c14n.c,384,global_54,global_23,,0,,
229,c14n.c,394,global_56,global_56,,0,,
230,c14n.c,395,global_56,global_7,,0,,
231,c14n.c,396,global_56,global_7,,0,,
232,c14n.c,399,global_56,global_28,,0,,
233,c14n.c,420,global_55,global_23,,0,,
234,c14n.c,429,global_55,global_21,,0,,
235,c14n.c,430,global_55,global_21,,0,,
236,c14n.c,431+,function_30,global_1,,0,,
237,c14n.c,431,function_30,global_1,,0,,
238,c14n.c,438+,function_30,global_1,,0,,
239,c14n.c,453,global_55,global_23,,0,,
240,c14n.c,462,global_55,global_21,,0,,
241,c14n.c,463,global_55,global_21,,0,,
242,c14n.c,464+,function_30,global_1,,0,,
243,c14n.c,464,function_30,global_1,,0,,
244,c14n.c,471+,function_30,global_1,,0,,
245,c14n.c,472+,function_30,global_1,,0,,
246,c14n.c,500,global_57,global_21,,0,,
247,c14n.c,501+,function_20,global_1,,0,,
248,c14n.c,501,function_20,global_1,,0,,
249,c14n.c,518,global_58,global_58,,0,,
250,c14n.c,520,global_58,global_21,,0,,
251,c14n.c,522,global_58,global_21,,0,,
252,c14n.c,542+,global_48,global_19,,0,,
253,c14n.c,542,global_48,global_21,,0,,
254,c14n.c,610+,global_59,global_8,,0,,
255,c14n.c,610,global_59,global_19,,0,,
256,c14n.c,619,function_21,global_20,,0,,
257,c14n.c,629+,function_31,global_1,,0,,
258,c14n.c,631,global_59,global_1,,0,,
259,c14n.c,634,function_33,global_1,,0,,
260,c14n.c,637,function_18,global_1,,0,,
261,c14n.c,653,global_59,global_1,,0,,
262,c14n.c,657,function_33,global_1,,0,,
263,c14n.c,717+,global_59,global_8,,0,,
264,c14n.c,717,global_59,global_19,,0,,
265,c14n.c,732,function_21,global_20,,0,,
266,c14n.c,751,function_20,global_1,,0,,
267,c14n.c,752,function_20,global_1,,0,,
268,c14n.c,758+,function_31,global_1,,0,,
269,c14n.c,758,function_32,global_21,,0,,
270,c14n.c,760,global_59,global_1,,0,,
271,c14n.c,763,function_33,global_1,,0,,
272,c14n.c,766,function_18,global_1,,0,,
273,c14n.c,780+,function_31,global_1,,0,,
274,c14n.c,780,function_32,global_21,,0,,
275,c14n.c,781,global_59,global_1,,0,,
276,c14n.c,782,function_-1,global_1,,0,,
277,c14n.c,786,global_59,global_1,,0,,
278,c14n.c,789,function_18,global_1,,0,,
279,c14n.c,802+,function_31,global_1,,0,,
280,c14n.c,805+,global_59,global_1,,0,,
281,c14n.c,805,function_33,global_1,,0,,
282,c14n.c,808,function_18,global_1,,0,,
283,c14n.c,811++,function_18,global_1,,0,,
284,c14n.c,811+,function_18,global_1,,0,,
285,c14n.c,819,global_59,global_1,,0,,
286,c14n.c,826,function_33,global_1,,0,,
287,c14n.c,829,global_59,global_1,,0,,
288,c14n.c,833,function_33,global_1,,0,,
289,c14n.c,868,function_31,global_1,,0,,
290,c14n.c,889,global_14,global_14,,0,,
291,c14n.c,891,global_14,global_18,,0,,
292,c14n.c,893,global_14,global_18,,0,,
293,c14n.c,939+,global_48,global_19,,0,,
294,c14n.c,939,global_48,global_18,,0,,
295,c14n.c,945+,function_18,global_1,,0,,
296,c14n.c,955,function_17,global_7,,0,,
297,c14n.c,958,function_26,global_7,,0,,
298,c14n.c,981,global_60,global_8,,0,,
299,c14n.c,983,function_16,global_18,,0,,
300,catalog.c,2331+,global_61,global_7,,0,,
301,catalog.c,2331,global_61,global_7,,0,,
302,catalog.c,2335,global_61,global_7,,0,,
303,catalog.c,2649,function_-1,global_7,,0,,
304,catalog.c,2653,function_-1,global_29,,0,,
305,catalog.c,2660,function_-1,global_1,,0,,
306,catalog.c,328,global_62,global_30,,0,,
307,catalog.c,337,global_6,global_1,,0,,
308,catalog.c,368,global_62,global_30,,0,,
309,catalog.c,438,global_63,global_29,,0,,
310,catalog.c,727+,global_64,global_29,,0,,
311,catalog.c,727,global_64,global_30,,0,,
312,catalog.c,793,global_65,global_29,,0,,
313,catalog.c,796,global_6,global_1,,0,,
314,catalog.c,896,function_34,global_32,,0,,
315,catalog.c,898,global_33,global_33,,0,,
316,catalog.c,906,function_35,global_34,,0,,
317,catalog.c,912,function_36,global_17,,0,,
318,catalog.c,970,global_66,global_7,,0,,
319,catalog.c,974,function_37,global_1,,0,,
320,catalog.c,979,function_9,global_1,,0,,
321,chvalid.c,173,global_67,global_-1,,0,,
322,chvalid.c,174,global_67,global_1,,0,,
323,chvalid.c,227,global_68,global_1,,0,,
324,debugXML.c,1351,global_69,global_14,,0,,
325,debugXML.c,1353,global_69,global_7,,0,,
326,dict.c,1006,function_10,global_1,,0,,
327,dict.c,1036,function_10,global_1,,0,,
328,dict.c,1048,function_10,global_1,,0,,
329,dict.c,1081+,global_70,global_7,,0,,
330,dict.c,1081,global_70,global_35,,0,,
331,dict.c,1083,global_70,global_7,,0,,
332,dict.c,1093,global_70,global_7,,0,,
333,dict.c,1101,function_38,global_1,,0,,
334,dict.c,1106,function_38,global_1,,0,,
335,dict.c,1118,global_70,global_7,,0,,
336,dict.c,1128,function_38,global_1,,0,,
337,dict.c,1133,function_38,global_1,,0,,
338,dict.c,1140,function_-1,global_7,,0,,
339,dict.c,1160,global_12,global_12,,0,,
340,dict.c,1182+,global_71,global_7,,0,,
341,dict.c,1182,global_71,global_35,,0,12558,0
342,dict.c,1206,global_72,global_35,,0,,
343,dict.c,1227,global_73,global_35,,0,13314,0
344,dict.c,1248,global_74,global_35,,0,,
345,dict.c,176,global_6,global_1,,0,13314,0
346,dict.c,179,function_-1,global_-1,,0,13314,0
347,dict.c,200,global_6,global_1,,0,13314,0
348,dict.c,222,global_6,global_1,,0,13314,0
349,dict.c,313,global_75,global_7,,0,,
350,dict.c,379+,global_76,global_7,,0,,
351,dict.c,379,global_76,global_1,,0,,
352,dict.c,424,global_1,global_77,,0,,
353,dict.c,447,global_78,global_7,,0,,
354,dict.c,450,global_78,global_1,,0,13314,13314
355,dict.c,483,global_77,global_1,,0,,
356,dict.c,488,global_77,global_1,,0,,
357,dict.c,491,global_77,global_1,,0,,
358,dict.c,508,global_77,global_1,,0,,
359,dict.c,539,global_6,global_1,,0,13314,0
360,dict.c,540,function_39,global_1,,0,,
361,dict.c,586+,global_79,global_35,,0,,
362,dict.c,586,function_40,global_35,,0,,
363,dict.c,607,global_6,global_1,,0,12558,0
364,dict.c,608,function_39,global_1,,0,,
365,dict.c,611,global_80,global_35,,0,12558,12558
366,dict.c,639,global_81,global_35,,0,,
367,dict.c,641,global_81,global_12,,0,,
368,dict.c,643,global_81,global_12,,0,,
369,dict.c,675,global_1,global_1,,0,,
370,dict.c,718,global_1,global_1,,0,,
371,dict.c,768,global_82,global_35,,0,25872,0
372,dict.c,771,global_6,global_1,,0,13314,0
373,dict.c,772,function_39,global_1,,0,,
374,dict.c,833+,global_83,global_7,,0,,
375,dict.c,833,global_83,global_35,,0,13314,0
376,dict.c,836,global_83,global_1,,0,13314,36
377,dict.c,857,function_10,global_1,,0,,
378,dict.c,869,function_10,global_1,,0,179,179
379,dict.c,899,function_10,global_1,,0,,
380,dict.c,911,function_10,global_1,,0,,
381,dict.c,924,function_-1,global_7,,0,13314,0
382,dict.c,945,global_12,global_12,,0,13314,0
383,dict.c,947,function_-1,global_1,,0,,
384,dict.c,971+,global_84,global_7,,0,,
385,dict.c,971,global_84,global_35,,0,,
386,dict.c,974,global_84,global_1,,0,,
387,dict.c,994,function_10,global_1,,0,,
388,DOCBparser.c,117,global_6,global_1,,0,,
389,DOCBparser.c,152,global_6,global_1,,0,,
390,DOCBparser.c,183,global_6,global_1,,0,,
391,DOCBparser.c,209,global_6,global_1,,0,,
392,DOCBparser.c,236,global_6,global_1,,0,,
393,DOCBparser.c,268,global_6,global_1,,0,,
394,DOCBparser.c,295,global_6,global_1,,0,,
395,DOCBparser.c,45,global_6,global_1,,0,,
396,DOCBparser.c,69,global_6,global_1,,0,,
397,DOCBparser.c,90,global_6,global_1,,0,,
398,encoding.c,1014,global_85,global_7,,0,13312,0
399,encoding.c,1017,global_6,global_-1,,0,13312,13312
400,encoding.c,1029,global_1,global_6,,0,,
401,encoding.c,1030,function_41,global_1,,0,,
402,encoding.c,1052+,global_86,global_7,,0,,
403,encoding.c,1052,global_86,global_7,,0,,
404,encoding.c,1061,global_6,global_-1,,0,,
405,encoding.c,1066,global_6,global_-1,,0,,
406,encoding.c,1068,global_6,global_6,,0,,
407,encoding.c,1077,global_1,global_6,,0,,
408,encoding.c,1078,function_41,global_1,,0,,
409,encoding.c,1108,global_87,global_7,,0,,
410,encoding.c,1111,global_6,global_-1,,0,,
411,encoding.c,1117,function_41,global_1,,0,,
412,encoding.c,1147,global_88,global_7,,0,1,1
413,encoding.c,1154,function_42,global_7,,0,,
414,encoding.c,1163,function_41,global_1,,0,,
415,encoding.c,1164,function_41,global_1,,0,,
416,encoding.c,1165,function_41,global_1,,0,,
417,encoding.c,1171,function_41,global_1,,0,,
418,encoding.c,1172,function_41,global_1,,0,,
419,encoding.c,1174,function_41,global_1,,0,,
420,encoding.c,1175,function_41,global_1,,0,,
421,encoding.c,1176,function_41,global_1,,0,,
422,encoding.c,1182,function_41,global_1,,0,,
423,encoding.c,1183,function_41,global_1,,0,,
424,encoding.c,1184,function_41,global_1,,0,,
425,encoding.c,1187,function_41,global_1,,0,,
426,encoding.c,1188,function_41,global_1,,0,,
427,encoding.c,1189,function_41,global_1,,0,,
428,encoding.c,1191,function_41,global_1,,0,,
429,encoding.c,1192,function_41,global_1,,0,,
430,encoding.c,1193,function_41,global_1,,0,,
431,encoding.c,1195,function_41,global_1,,0,,
432,encoding.c,1196,function_41,global_1,,0,,
433,encoding.c,1197,function_41,global_1,,0,,
434,encoding.c,1198,function_41,global_1,,0,,
435,encoding.c,1199,function_41,global_1,,0,,
436,encoding.c,1200,function_41,global_1,,0,,
437,encoding.c,1201,function_41,global_1,,0,,
438,encoding.c,1203,function_41,global_1,,0,,
439,encoding.c,1204,function_41,global_1,,0,,
440,encoding.c,1205,function_41,global_1,,0,,
441,encoding.c,1322,function_42,global_7,,0,13312,0
442,encoding.c,1328,global_89,global_7,,0,13312,0
443,encoding.c,1392,global_6,global_38,,0,,
444,encoding.c,1404,global_6,global_38,,0,13312,0
445,encoding.c,1449,global_6,global_38,,0,,
446,encoding.c,1451,global_6,global_1,,0,,
447,encoding.c,1473,global_6,global_38,,0,,
448,encoding.c,1474+,global_6,global_38,,0,,
449,encoding.c,1474,global_90,global_25,,0,13312,0
450,encoding.c,1480,global_6,global_1,,0,13312,0
451,encoding.c,1501,global_6,global_38,,0,,
452,encoding.c,1515,function_43,global_25,,0,,
453,encoding.c,1517,function_43,global_25,,0,,
454,encoding.c,1519,function_43,global_25,,0,,
455,encoding.c,1521,function_43,global_25,,0,,
456,encoding.c,1525,function_43,global_25,,0,,
457,encoding.c,1527,function_43,global_25,,0,,
458,encoding.c,1529,function_43,global_25,,0,,
459,encoding.c,1533,function_43,global_25,,0,,
460,encoding.c,1535,function_43,global_25,,0,,
461,encoding.c,1537,function_43,global_25,,0,,
462,encoding.c,1545,function_43,global_25,,0,,
463,encoding.c,1547,function_43,global_25,,0,,
464,encoding.c,1549,function_43,global_25,,0,,
465,encoding.c,1560,function_43,global_25,,0,,
466,encoding.c,1564,function_43,global_25,,0,,
467,encoding.c,1568,function_43,global_25,,0,,
468,encoding.c,1572,function_43,global_25,,0,,
469,encoding.c,1576,function_43,global_25,,0,,
470,encoding.c,1580,function_43,global_25,,0,,
471,encoding.c,1584,function_43,global_25,,0,,
472,encoding.c,1588,function_43,global_25,,0,,
473,encoding.c,1592,function_43,global_25,,0,,
474,encoding.c,1598,function_43,global_25,,0,,
475,encoding.c,1602,function_43,global_25,,0,,
476,encoding.c,1604,function_43,global_25,,0,,
477,encoding.c,1606,function_43,global_25,,0,,
478,encoding.c,1610,function_43,global_25,,0,,
479,encoding.c,1647,global_6,global_38,,0,,
480,encoding.c,1648,global_91,global_7,,0,,
481,encoding.c,1656,function_42,global_7,,0,,
482,encoding.c,1668,global_6,global_38,,0,,
483,encoding.c,1669,global_1,global_6,,0,,
