file,line,source 1,source 2,source 3
buf.c,982,function_11,global_1,N/A
c14n.c,1010+,argument_24,global_18,N/A
c14n.c,1010,argument_24,global_19,N/A
c14n.c,1026,function_13,global_18,N/A
c14n.c,1029,function_14,global_7,N/A
c14n.c,1039,function_15,global_1,N/A
c14n.c,1041,function_-1,global_7,N/A
c14n.c,1054,function_-1,global_7,N/A
c14n.c,1073+,function_16,global_1,N/A
c14n.c,1080,function_13,global_18,N/A
c14n.c,1137+,argument_25,global_8,N/A
c14n.c,1137,argument_25,global_19,N/A
c14n.c,1146,function_17,global_20,N/A
c14n.c,1179,argument_25,global_1,N/A
c14n.c,1192,function_-1,global_1,N/A
c14n.c,1193,function_-1,global_7,N/A
c14n.c,1259+,function_-1,global_1,N/A
c14n.c,1259,argument_25,global_1,N/A
c14n.c,1268++,function_16,global_1,N/A
c14n.c,1272++,function_16,global_1,N/A
c14n.c,1278++,function_16,global_1,N/A
c14n.c,1294,argument_25,global_1,N/A
c14n.c,1358+,argument_26,global_8,N/A
c14n.c,1358,argument_26,global_19,N/A
c14n.c,1365,function_15,global_1,N/A
c14n.c,1369,function_18,global_22,N/A
c14n.c,1373,function_15,global_1,N/A
c14n.c,1378,function_19,global_1,N/A
c14n.c,1379,function_19,global_1,N/A
c14n.c,1380,function_15,global_1,N/A
c14n.c,1422+,argument_27,global_8,N/A
c14n.c,1422,argument_27,global_19,N/A
c14n.c,1432,function_-1,global_1,N/A
c14n.c,1444,argument_27,global_1,N/A
c14n.c,1453+,function_15,global_1,N/A
c14n.c,1466,function_20,global_1,N/A
c14n.c,1471,argument_27,global_1,N/A
c14n.c,1476,function_20,global_1,N/A
c14n.c,1481,argument_27,global_1,N/A
c14n.c,1486,function_20,global_1,N/A
c14n.c,1491,argument_27,global_1,N/A
c14n.c,1493+,function_15,global_1,N/A
c14n.c,1529+,argument_28,global_8,N/A
c14n.c,1529,argument_28,global_19,N/A
c14n.c,1554,function_21,global_7,N/A
c14n.c,1593,function_21,global_7,N/A
c14n.c,1638,function_21,global_7,N/A
c14n.c,1719,argument_28,global_19,N/A
c14n.c,1724,argument_28,global_8,N/A
c14n.c,1741,argument_-1,global_19,N/A
c14n.c,1781+,argument_29,global_24,N/A
c14n.c,1781,argument_29,global_2,N/A
c14n.c,1876+,argument_30,global_2,N/A
c14n.c,1876,argument_30,global_24,N/A
c14n.c,1906,function_-1,global_19,N/A
c14n.c,1924,function_-1,global_1,N/A
c14n.c,1935,function_-1,global_1,N/A
c14n.c,2012,argument_31,global_26,N/A
c14n.c,2023,function_-1,global_24,N/A
c14n.c,2033,function_22,global_1,N/A
c14n.c,2040,function_22,global_1,N/A
c14n.c,2045+,function_22,global_1,N/A
c14n.c,2045,argument_31,global_7,N/A
c14n.c,2083,argument_-1,global_7,N/A
c14n.c,2096,function_23,global_24,N/A
c14n.c,2106,function_22,global_1,N/A
c14n.c,2155,argument_32,global_7,N/A
c14n.c,2177+,argument_32,global_1,N/A
c14n.c,2178,argument_32,global_1,N/A
c14n.c,2183+,argument_32,global_1,N/A
c14n.c,2188+,argument_32,global_1,N/A
c14n.c,2189,argument_32,global_1,N/A
c14n.c,2195+,argument_32,global_1,N/A
c14n.c,2202+,argument_32,global_1,N/A
c14n.c,2208+,argument_32,global_1,N/A
c14n.c,2214+,argument_32,global_1,N/A
c14n.c,2215,argument_32,global_1,N/A
c14n.c,2216,argument_32,global_1,N/A
c14n.c,2217,argument_32,global_1,N/A
c14n.c,239,argument_-1,global_19,N/A
c14n.c,256+,argument_33,global_8,N/A
c14n.c,256,argument_33,global_3,N/A
c14n.c,265,argument_33,global_8,N/A
c14n.c,296,argument_-1,global_23,N/A
c14n.c,315,argument_34,global_23,N/A
c14n.c,361+,argument_34,global_23,N/A
c14n.c,361,argument_34,global_23,N/A
c14n.c,373+,argument_34,global_23,N/A
c14n.c,373,argument_34,global_23,N/A
