file Name,line,comp relation,source1_from,Source1_type,Source1_info,source2_from,Source2_type,Source2_info,source3_from,Source3_type,Source3_info,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1160,!=,unkonwn,unprecessed,"  %287 = getelementptr inbounds %struct._xmlXPathObject, %struct._xmlXPathObject* %286, i32 0, i32 1, !dbg !809",global,_xmlNodeSet*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1161,<,unkonwn,unprecessed,"  %15 = alloca i32, align 4",unkonwn,unprecessed,"  %303 = getelementptr inbounds %struct._xmlNodeSet, %struct._xmlNodeSet* %302, i32 0, i32 0, !dbg !822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1164++,!=,unkonwn,unprecessed,"  %329 = zext i8 %328 to i32, !dbg !837",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1164+,!=,unkonwn,unprecessed,"  %320 = getelementptr inbounds %struct._xmlNode, %struct._xmlNode* %319, i32 0, i32 10, !dbg !835",global,i8*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1164,!=,unkonwn,unprecessed,"  %314 = getelementptr inbounds %struct._xmlNode*, %struct._xmlNode** %311, i64 %313, !dbg !825",global,_xmlNode*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1187,!=,unkonwn,unprecessed,"  %9 = getelementptr inbounds %struct.t_state, %struct.t_state* %8, i32 0, i32 5, !dbg !373",global,t_powerset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1202,!=,unkonwn,unprecessed,"  %6 = alloca %struct.t_transition*, align 8",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1203,=,unkonwn,unprecessed,"  %33 = zext i16 %32 to i32, !dbg !393",global,i32,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1207,!=,unkonwn,unprecessed,"  %37 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %36, i32 0, i32 1, !dbg !400",unkonwn,unprecessed,"  %47 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %46, i32 0, i32 1, !dbg !410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1221,<,unkonwn,unprecessed,"  %5 = alloca i32, align 4",unkonwn,unprecessed,"  %9 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %8, i32 0, i32 1, !dbg !375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1235,!=,unkonwn,unprecessed,"  %21 = bitcast i8* %20 to %struct.t_state*, !dbg !384",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1262,!=,function,i32,hash_add,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1321,!=,global,i32,0,global,i32,1,global,i32,100,unkonwn,unprecessed,i32 0,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1335,<,unkonwn,unprecessed,"  %5 = alloca i32, align 4",unkonwn,unprecessed,"  %48 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %47, i32 0, i32 1, !dbg !436",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1338,!=,unkonwn,unprecessed,"  %8 = alloca %struct.t_transition*, align 8",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1339,!=,unkonwn,unprecessed,"  %71 = zext i16 %70 to i32, !dbg !453",global,i32,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1359,<,unkonwn,unprecessed,"  %6 = alloca i32, align 4",unkonwn,unprecessed,"  %103 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %102, i32 0, i32 1, !dbg !493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1362,!=,global,i32,256,unkonwn,unprecessed,"  %118 = zext i16 %117 to i32, !dbg !503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1363,!=,unkonwn,unprecessed,"  %122 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %121, i32 0, i32 1, !dbg !510",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1382,!=,unkonwn,unprecessed,"  %152 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %151, i32 0, i32 1, !dbg !540",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1385,!=,global,t_state*,null,unkonwn,unprecessed,%struct.t_state* null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1397,!=,global,,common dso_local global t_state* null,global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1404,<,global,i32,0,unkonwn,unprecessed,"  %192 = getelementptr inbounds %struct.t_powerset, %struct.t_powerset* %191, i32 0, i32 1, !dbg !586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1407,!=,unkonwn,unprecessed,"  %204 = getelementptr inbounds %struct.t_state, %struct.t_state* %203, i32 0, i32 4, !dbg !597",global,t_chset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1408+,!=,unkonwn,unprecessed,"  %214 = getelementptr inbounds %struct.t_state, %struct.t_state* %213, i32 0, i32 4, !dbg !605",unkonwn,unprecessed,"  %217 = getelementptr inbounds %struct.t_state, %struct.t_state* %216, i32 0, i32 4, !dbg !607",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1408,!=,unkonwn,unprecessed,"  %209 = getelementptr inbounds %struct.t_state, %struct.t_state* %208, i32 0, i32 4, !dbg !602",global,t_chset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1437,!=,global,,common dso_local global t_state* null,global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1440,!=,unkonwn,unprecessed,"  %17 = getelementptr inbounds %struct.t_state, %struct.t_state* %16, i32 0, i32 2, !dbg !385",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1445,!=,unkonwn,unprecessed,"  %28 = getelementptr inbounds %struct.t_state, %struct.t_state* %27, i32 0, i32 3, !dbg !398",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1503,!=,unkonwn,unprecessed,"  %3 = alloca %struct.t_state*, align 8",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1504,!=,unkonwn,unprecessed,"  %28 = bitcast i8* %27 to %struct.t_stategroup*, !dbg !417",global,t_stategroup*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1509,!=,function,i32,hash_add,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1528,!=,unkonwn,unprecessed,"  %8 = alloca %struct.t_stategroup*, align 8",global,t_stategroup*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1531,!=,unkonwn,unprecessed,"  %76 = getelementptr inbounds %struct.t_state, %struct.t_state* %75, i32 0, i32 1, !dbg !478",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1543,!=,unkonwn,unprecessed,"  %10 = alloca %struct.t_transition*, align 8",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1546,!=,function,i32,hash_add,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1565,!=,unkonwn,unprecessed,"  %87 = getelementptr inbounds %struct.t_state, %struct.t_state* %86, i32 0, i32 2, !dbg !488",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1571,=,unkonwn,unprecessed,"  %28 = bitcast i8* %27 to %struct.t_stategroup*, !dbg !417",global,t_stategroup*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1576,!=,unkonwn,unprecessed,"  %28 = bitcast i8* %27 to %struct.t_stategroup*, !dbg !417",global,t_stategroup*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1581,!=,function,i32,hash_add,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1591,!=,unkonwn,unprecessed,"  %118 = getelementptr inbounds %struct.t_state, %struct.t_state* %117, i32 0, i32 1, !dbg !515",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1595,!=,global,i32,1,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1603,!=,unkonwn,unprecessed,"  %28 = bitcast i8* %27 to %struct.t_stategroup*, !dbg !417",global,t_stategroup*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1604,!=,global,,common dso_local global t_state* null,global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1605,!=,unkonwn,unprecessed,"  %87 = getelementptr inbounds %struct.t_state, %struct.t_state* %86, i32 0, i32 2, !dbg !488",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1614,!=,unkonwn,unprecessed,"  %28 = bitcast i8* %27 to %struct.t_stategroup*, !dbg !417",global,t_stategroup*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1617,!=,unkonwn,unprecessed,"  %269 = getelementptr inbounds %struct.t_state, %struct.t_state* %268, i32 0, i32 1, !dbg !689",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1620,!=,unkonwn,unprecessed,"  %87 = getelementptr inbounds %struct.t_state, %struct.t_state* %86, i32 0, i32 2, !dbg !488",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1638,!=,global,t_stategroup*,null,unkonwn,unprecessed,%struct.t_stategroup* null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1642,=,unkonwn,unprecessed,"  %315 = getelementptr inbounds %struct.t_stategroup, %struct.t_stategroup* %314, i32 0, i32 2, !dbg !748",unkonwn,unprecessed,"  %213 = getelementptr inbounds %struct.t_state, %struct.t_state* %212, i32 0, i32 6, !dbg !622",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1644,!=,unkonwn,unprecessed,"  %323 = getelementptr inbounds %struct.t_state, %struct.t_state* %322, i32 0, i32 4, !dbg !757",global,t_chset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1656,!=,unkonwn,unprecessed,"  %346 = getelementptr inbounds %struct.t_state, %struct.t_state* %345, i32 0, i32 0, !dbg !786",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1669,!=,argument,i8*,inttype(i64 max ),global,i64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1672,>,unkonwn,unprecessed,"  %16 = sext i32 %15 to i64, !dbg !382",global,i64,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1675,>,unkonwn,unprecessed,"  %21 = sext i32 %20 to i64, !dbg !387",global,i64,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1678,>,unkonwn,unprecessed,"  %26 = sext i32 %25 to i64, !dbg !392",global,i64,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1700,!=,unkonwn,unprecessed,"  %5 = alloca %struct.t_chset*, align 8",global,t_chset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1701,!=,global,i32,0,unkonwn,unprecessed,i32 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1706,!=,unkonwn,unprecessed,"  %26 = getelementptr inbounds %struct.t_chset, %struct.t_chset* %25, i32 0, i32 1, !dbg !458",global,t_symlist*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1710,=,unkonwn,unprecessed,"  %36 = getelementptr inbounds %struct.t_chset, %struct.t_chset* %35, i32 0, i32 2, !dbg !464",global,i8*,inttoptr (i64 -1 to i8*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1712,!=,unkonwn,unprecessed,"  %6 = alloca %struct.t_symlist*, align 8",global,t_symlist*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1720,>,unkonwn,unprecessed,"  %63 = zext i32 %62 to i64, !dbg !491",function,i64,strlen,global,i64,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1729,!=,global,i32,0,unkonwn,unprecessed,i32 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1757,!=,unkonwn,unprecessed,"  %6 = alloca %struct.t_state*, align 8",global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1760,!=,unkonwn,unprecessed,"  %21 = getelementptr inbounds %struct.t_state, %struct.t_state* %20, i32 0, i32 4, !dbg !451",global,t_chset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1763,!=,unkonwn,unprecessed,"  %7 = alloca %struct.t_transition*, align 8",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1789,!=,global,,common dso_local global t_state* null,global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1792,>,global,i32,0,global,i32,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1797,!=,unkonwn,unprecessed,"  %28 = getelementptr inbounds %struct.t_state, %struct.t_state* %27, i32 0, i32 2, !dbg !458",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1812+,<,global,i32,0,unkonwn,unprecessed,i32 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1812,!=,global,,common dso_local global t_state* null,global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1816,>,global,i32,0,global,i32,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1822,!=,unkonwn,unprecessed,"  %137 = getelementptr inbounds %struct.t_state, %struct.t_state* %136, i32 0, i32 4, !dbg !586",global,t_chset*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1834,!=,global,,common dso_local global t_state* null,global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1835,!=,unkonwn,unprecessed,"  %28 = getelementptr inbounds %struct.t_state, %struct.t_state* %27, i32 0, i32 2, !dbg !458",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1838,>,global,i32,0,global,i32,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1854,!=,global,,common dso_local global t_state* null,global,t_state*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1855,!=,unkonwn,unprecessed,"  %28 = getelementptr inbounds %struct.t_state, %struct.t_state* %27, i32 0, i32 2, !dbg !458",global,t_transition*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1859,>,global,i32,0,global,i32,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1885,!=,argument,i32,"main(i32 argc ,i8** argv )",global,i32,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1928,!=,function,_IO_FILE*,fopen,global,_IO_FILE*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,1943,!=,function,i32,ferror,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,237,!=,argument,void,chknull(i8* p ),global,i8*,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,267,!=,argument,i8*,"iconv_open_ccsid(i32 ccsidout ,i32 ccsidin ,i32 nullflag )",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,284,!=,unkonwn,unprecessed,"  %16 = zext i16 %15 to i32, !dbg !375",global,i32,2048,global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
bldcsndfa.c,314,!=,unkonwn,unprecessed,"  %9 = alloca i32, align 4",global,i32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
